,Predicted,question
0,how,manner How did serfdom develop in and then leave Russia ?
1,what,cremat What films featured the character Popeye Doyle ?
2,what,manner How can I find a list of celebrities ' real names ?
3,what,animal What fowl grabs the spotlight after the Chinese Year of the Monkey ?
4,what,exp What is the full form of .com ?
5,what,ind What contemptible scoundrel stole the cork from my lunch ?
6,what,gr What team did baseball 's St. Louis Browns become ?
7,what,title What is the oldest profession ?
8,what,def What are liver enzymes ?
9,unknown,ind Name the scar-faced bounty hunter of The Old West .
10,when,date When was Ozzy Osbourne born ?
11,what,reason Why do heavier objects travel downhill faster ?
12,who,ind Who was The Pride of the Yankees ?
13,who,ind Who killed Gandhi ?
14,what,event What is considered the costliest disaster the insurance industry has ever faced ?
15,what,state What sprawling U.S. state boasts the most airports ?
16,what,desc What did the only repealed amendment to the U.S. Constitution deal with ?
17,how,count How many Jews were executed in concentration camps during WWII ?
18,what,def What is `` Nine Inch Nails '' ?
19,what,def What is an annotated bibliography ?
20,what,date What is the date of Boxing Day ?
21,what,other What articles of clothing are tokens in Monopoly ?
22,who,ind Name 11 famous martyrs .
23,what,desc What 's the Olympic motto ?
24,what,desc What is the origin of the name ` Scarlett ' ?
25,what,letter What 's the second-most-used vowel in English ?
26,who,ind Who was the inventor of silly putty ?
27,what,other What is the highest waterfall in the United States ?
28,what,other Name a golf course in Myrtle Beach .
29,what,state Which two states enclose Chesapeake Bay ?
30,what,exp What does the abbreviation AIDS stand for ?
31,what,other What does a spermologer collect ?
32,how,count How many points make up a perfect fivepin bowling score ?
33,what,gr Which company that manufactures video-game hardware sells the `` super system '' ?
34,how,count How many Community Chest cards are there in Monopoly ?
35,what,desc What do Mormons believe ?
36,when,date When did the neanderthal man live ?
37,what,religion In what religion was Isis the nature goddess ?
38,what,other Where do the adventures of `` The Swiss Family Robinson '' take place ?
39,what,animal What relative of the racoon is sometimes known as the cat-bear ?
40,how,manner How can I register my website in Yahoo for free ?
41,what,other What was cash-conscious Colonel Edwin L. Drake the first to drill ?
42,how,count How many people in the world speak French ?
43,how,count How many inches over six feet is the Venus de Milo ?
44,how,manner How do they find or choose witnesses to an execution ?
45,what,ind What 1920s cowboy star rode Tony the Wonder Horse ?
46,what,food What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?
47,what,gr What ISPs exist in the Caribbean ?
48,how,manner How do you ask a total stranger out on a date ?
49,what,other What weapon is the mythological character Apollo most proficient with ?
50,what,country What country do the Galapagos Islands belong to ?
51,what,def What is ethology ?
52,who,ind Who was the prophet of the Muslim people ?
53,when,desc Where did the term `` 86ed '' come from ?
54,who,ind Who is Snoopy 's arch-enemy ?
55,what,def What is the nature of learning ?
56,what,color What 's the only color Johnny Cash wears on stage ?
57,what,termeq What 's the term for a young fox ?
58,what,state What U.S. state lived under six flags ?
59,what,def What is the Kashmir issue ?
60,what,other Where is the Loop ?
61,what,def What does `` extended definition '' mean and how would one write a paper on it ?
62,what,country What country 's capital is Tirana ?
63,what,def What is titanium ?
64,who,ind Who do Herb and Tootsie live next door to ?
65,what,city Which city has the oldest relationship as a sister city with Los Angeles ?
66,what,def What is a caldera ?
67,what,reason Why do people get calluses ?
68,what,other What are the names of the tourist attractions in Reims ?
69,what,reason What are Cushman and Wakefield known for ?
70,what,other What body of water does the Danube River flow into ?
71,who,ind Who is the founder of Scientology ?
72,what,other What does the six-footed Musca domestica become when it enters a house ?
73,what,desc What is the history of skateboarding ?
74,who,ind Who starred in Singing in the Rain and The Singing Nun ?
75,how,manner How do I make fuel bricks from recycled newspaper ?
76,what,ind What 19th-century painter died in the Marquesas Islands ?
77,what,body The corpus callosum is in what part of the body ?
78,what,manner How do I log on to home page at Headquarters U.S. European Command ?
79,what,"country What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP ."
80,what,other What is Nebraska 's most valuable resource ?
81,how,count How many species of the Great White shark are there ?
82,what,desc What is the origin of head lice ?
83,what,state What is the nickname for the state of Mississippi ?
84,what,animal What was the first domesticated bird ?
85,how,count How many villi are found in the small intestine ?
86,what,country What country did King Wenceslas rule ?
87,what,dismed What is a fear of shadows ?
88,who,ind Who were the five Marx brothers ?
89,what,date In which year was New Zealand excluded from the ANZUS alliance ?
90,when,date When did CNN begin broadcasting ?
91,what,reason What causes the body to shiver in cold temperatures ?
92,what,def What are bear and bull markets ?
93,what,cremat What J.R.R. Tolkien book features Bilbo Baggins as the central character ?
94,what,def What is `` dew point '' ?
95,what,def What is the meaning of Jesus ?
96,what,gr What company 's logo is a `` W '' in a circle ?
97,what,def What is the definition of a cascade ?
98,what,date When did Rococo painting and architecture flourish ?
99,what,country What country 's national passenger rail system is called Via ?
100,who,ind Who invented Make-up ?
101,what,desc What is the origin of the word `` attic '' ?
102,what,desc What did Delilah do to Samson 's hair ?
103,what,animal What kind of animals were in the Paleozoic era ?
104,who,ind Which of the following was Rhodes Scholar ?
105,who,ind Who comprised the now-defunct comic book team known as the Champions ?
106,what,manner How do you make a paintball ?
107,what,state What U.S. state is Fort Knox in ?
108,what,animal What is a female rabbit called ?
109,what,mount Where is the highest point in Japan ?
110,who,desc Where do chihuahuas come from ?
111,what,other Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?
112,what,other What are the world 's four oceans ?
113,what,cremat What 's the only work by Michelangelo that bears his signature ?
114,what,animal What is the largest snake in the world ?
115,what,cremat In what medium is Stuart Hamblen considered to be the first singing cowboy ?
116,what,other Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?
117,how,money How much money does a back injury lawsuit get ?
118,what,termeq What 's the common name for acetylsalicylic acid ?
119,what,def What does the Georgetown `` Hoya '' mean ?
120,what,other Where can I find a list of `` classic '' books 5th and 6th graders should read ?
121,what,product Which two products use a tiger as their symbol ?
122,who,manner How is the election of a new Pope announced to the world ?
123,how,period How long does it take for your blood to make one complete trip through the body ?
124,how,manner How do chickens have baby chicks ?
125,what,desc What is the historical relationship of Catholic Church and bingo ?
126,what,manner How was the element calcium named ?
127,what,ind What crooner joined The Andrews Sisters for Pistol Packin Mama ?
128,what,gr What piano company claims its product is the `` Instrument of the immortals '' ?
129,what,date When did the Bounty mutiny take place ?
130,what,cremat What novel inspired the movie BladeRunner ?
131,what,def What is a transistor ?
132,what,cremat What is a film starring Jude Law ?
133,what,animal What Hollywood dog died in the arms of Jean Harlow in 1932 ?
134,what,substance What are the most common elements in the Earth 's crust ?
135,what,"money How much would it cost to purchase a 2-foot-square party tent , with sides , ?"
136,what,ind What actress has received the most Oscar nominations ?
137,what,def What are equity securities ?
138,what,def What is gymnophobia ?
139,how,count How many years do fossils take to form ?
140,what,other Where is the Orinoco ?
141,what,animal What was the name of the `` Little Rascals '' dog ?
142,what,"city What city boasts Penn 's Landing , on the banks of the Delaware river ?"
143,what,cremat What Broadway musical was inspired by Cervantes 's Don Quixote ?
144,what,"desc What is the origin of the word , JJ ."
145,how,count How many hostages were killed in the Entebbe raid ?
146,what,manner How you can raise your IQ ?
147,what,exp What does INRI stand for when used on Jesus ' cross ?
148,what,gr Who produces Spumante ?
149,who,ind Who earns their money the hard way ?
150,who,ind Who founded the People 's Temple Commune ?
151,what,ind What athlete makes the most money from sports merchandise sales ?
152,how,count How many bends are there in a standard paper clip ?
153,who,ind Who discovered electricity ?
154,what,body What part of your body contains the corpus callosum ?
155,who,ind Who was the first American in space ?
156,what,country What two South American countries do n't border Brazil ?
157,what,cremat What album put The Beatles on the cover of Time in 1967 ?
158,what,"cremat What poem contains the line , `` grow old with me the best is yet to be '' ."
159,what,def What is a dental root canal ?
160,what,event What war did the Wanna-Go-Home Riots occur after ?
161,what,date What is the busiest air travel season ?
162,what,body What 's the colored part of the eye called ?
163,what,def What are hook worms ?
164,who,other Where is the Rose Bowl played ?
165,what,gr Which Japanese car maker had its biggest percentage of sale in the domestic market ?
166,who,ind Who is the mayor of Marbella ?
167,what,"other What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?"
168,what,date In what year did Thatcher become prime minister ?
169,how,count How many months does it take the moon to revolve around the Earth ?
170,where,other Where are the 49 steps ?
171,what,date In what year was De Gaulle elected president of France ?
172,who,ind Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?
173,who,ind Who directed `` Jaws '' ?
174,what,cremat On what T.V. show could Tom Terrific be found ?
175,what,gr What Indian tribe is F Troop perpetually doing battle with ?
176,when,desc Where did Indian Pudding come from ?
177,how,reason Why do some clothing labels say `` Use a nonchlorine bleach '' ?
178,how,count How many colonies were involved in the American Revolution ?
179,what,city What is the name of the city that Maurizio Pellegrin lives in ?
180,what,other Where can I find pictorial directions on how to build a very simple treehouse ?
181,what,"sport What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?"
182,who,ind What is the name of the managing director of Apricot Computer ?
183,what,title What is the occupation of Nicholas Cage ?
184,what,reason Why do horseshoes bring luck ?
185,what,"def What is the 401 , K , plan ?"
186,what,reason What causes pneumonia ?
187,what,date What are the three winter months in the southern hemisphere ?
188,what,def What does gringo mean ?
189,what,country What country contains Africa 's northernmost point ?
190,what,dismed What therapy attempts to elicit the `` primal scream '' ?
191,who,other Where is the Kalahari desert ?
192,what,gr Which Ventura County police department seized the largest cocaine shipment in it 's history ?
193,what,city What city is sometimes called Gotham ?
194,what,body What dangles over the tongue from the palate ?
195,who,ind Who created Dennis the Menace ?
196,what,ind What dummy received an honorary degree from Northwestern University ?
197,unknown,date When was the first Wall Street Journal published ?
198,what,country What countries have the largest areas of forest ?
199,how,manner How do I start a web based business ?
200,who,ind Name Alvin 's brothers
201,what,def What is Eagle 's syndrome styloid process ?
202,how,manner How did Jayne Mansfield die ?
203,when,date When did the royal wedding of Prince Andrew and Fergie take place ?
204,what,ind What actor said in A Day at the Races 
205,what,ind What explorer was nicknamed Iberia 's Pilot ?
206,what,date CNN began broadcasting in what year ?
207,what,termeq What is a ball that hits the foul pole called ?
208,what,reason What makes hamburgers taste like steakburgers ?
209,who,gr Which company created the Internet browser Mosaic ?
210,what,event What are the rites accompanying the circumcision of a newly born-child in Judaism called ?
211,what,other What was the education system in the 1960 's ?
212,what,city What South American city has the world 's highest commercial landing field ?
213,what,manner How can I find out which cities have cable-modem access ?
214,what,reason What is Betsy Ross famous for ?
215,how,count How many species of sharks are there ?
216,what,def What is `` snoogans '' ?
217,how,count How many people are there in the world ?
218,what,plant What shrubs can be planted that will be safe from deer ?
219,what,gr What organization 's offices were broken into at Watergate in 1972 ?
220,what,desc What is the design of the ship Titanic ?
221,what,exp What does S.O.S. stand for ?
222,what,techmeth Name a technique widely used to detect birth defects ?
223,what,desc What is the daily requirement of folic acid for an expectant mother ?
224,what,def What is the `` 7-minute cigarette '' ?
225,what,other What four forms does gold occur in ?
226,what,volsize What is the acreage of the Chappellet vineyard ?
227,how,manner How do you correctly say the word ` qigong ' ?
228,when,date When did beethoven die ?
229,how,money How much does a new railroad coal car cost ?
230,what,country What two European countries entered the War of American Independence against the British ?
231,what,def What is the filmmakers collabrative ?
232,what,ind What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?
233,what,reason What caused Harry Houdini 's death ?
234,who,"ind Who was the mother of the man who would not be king , the duke of Windsor ?"
235,how,count How many revolutions does a standard LP make in three minutes ?
236,what,mount What is the name of the tallest mountain in the world ?
237,what,other Where can I find a review of Nightmare on Elm Street in a film journal ?
238,what,techmeth What 's the slowest Olympic swimming stroke ?
239,what,ind What was the name of the first Russian astronaut to do a spacewalk ?
240,what,dismed What disease is transmitted by the Anopheles mosquito ?
241,what,food What rum is so `` mixable '' it is a one-brand bar ?
242,how,count How many South American countries have the letter Z in their names ?
243,what,def What is the contents of proposition 98 ?
244,when,other Where was George Washington born ?
245,how,"count How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD ."
246,who,ind Who wrote NN DT NNP NNP '' ?
247,what,def What is paracetamol ?
248,what,desc What are the powers and weaknesses of Green Lantern 's ring ?
249,what,"animal Which mosquito 's bite draws blood , DT NN CC DT NN ."
250,who,date When was the first steel mill in the United States built ?
251,what,ind What diminutive American female gymnast stole the show at the 1984 Olympics ?
252,what,desc What is the origin of the name Katie ?
253,who,"gr What schools in the Washington , DC NN NN VBP NN NN NN NN ."
254,unknown,date When did the Berlin Wall go up ?
255,who,desc Who is Terrence Malick ?
256,what,instru What instrument is Ray Charles best known for playing ?
257,what,def What 's the meaning of the Latin battle cry 
258,what,other What is the mascot for Notre Dame University ?
259,what,"other What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?"
260,when,date When did Mount St. Helen last have a significant eruption ?
261,what,exp CNN is the abbreviation for what ?
262,when,date When did World War I start ?
263,how,count How many feet are there in a fathom ?
264,what,def What is a Canada two-penny black ?
265,what,city What European city do Nicois live in ?
266,how,manner How can I find out what year a Beanie Baby was introduced ?
267,what,def What is the classic definition of tragic hero ?
268,what,other To what does Microsoft 's Windows 3 owe its success ?
269,who,ind Who was President of Afghanistan in 1994 ?
270,what,"techmeth What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?"
271,what,food What did brontosauruses eat ?
272,what,color What color bottles do good Rhine wines come in ?
273,who,ind Who was the lead actress in the movie ` Sleepless in Seattle ' ?
274,who,ind Who was the 16th President of the United States ?
275,who,ind Who are the two sons of Ozzie and Harriet Nelson ?
276,what,def What is molybdenum ?
277,what,date When is Boxing Day ?
278,what,other What is the lowest level of the American judiciary ?
279,when,date When was the battle of the Somme fought ?
280,how,count How many people did Randy Craft kill ?
281,what,animal What 's the official animal of Canada ?
282,when,date When did Spielberg direct `` Jaws '' ?
283,what,volsize What is the size of the largest akita ?
284,what,animal What animal has the biggest eyes ?
285,what,city What is California 's capital ?
286,who,ind Who was the author of the book about computer hackers called `` The Cuckoo 's Egg 
287,who,ind Who was the founding member of the Pink Floyd band ?
288,what,country What European country is home to the beer-producing city of Budweis ?
289,how,manner How do I find the balance of my social security account ?
290,what,desc What is the history of Valentine 's Day cards ?
291,when,other Where was Christopher Columbus born ?
292,what,termeq What do Italians call Florence ?
293,what,manner How do you get to the top of the Eiffel Tower ?
294,what,exp What does ` PSI ' stand for ?
295,what,other What sea did the Romans call mare nostrum ?
296,what,termeq What 's the term for a bet before cards are dealt ?
297,what,"animal Which came first , according to Genesis 1 "
298,what,city What city did the Flintstones live in ?
299,what,termeq What is Latin for incompetent ?
300,what,dismed What chemicals are used in lethal injection ?
301,what,gr What toy company is the world 's No.1 maker of female apparel ?
302,what,sport What board game does a `` wood-pusher '' play poorly ?
303,who,ind Which Doonesbury character was likely to turn into a werewolf ?
304,what,abb What is the abbreviation for micro ?
305,what,other What are the 7 articles of the constitution ?
306,who,gr Who has won the most Super Bowls ?
307,what,exp What does NASDAQ stand for ?
308,what,exp What is BPH ?
309,what,other What is the fastest commercial automobile that can be bought in the US ?
310,what,other What stadium do the Miami Dolphins play their home games in ?
311,who,ind Who has the only speaking role in `` Silent Movie '' ?
312,what,reason Why is poop sometimes different colors ?
313,what,other What was Einstein 's IQ ?
314,what,date What day was Pearl Harbor attacked in 1942 ?
315,what,ind What girl 's name is `` Teddy '' an affectionate form of ?
316,what,state What state is John F. Kennedy buried in ?
317,what,techmeth What is the best way to remove wallpaper ?
318,what,state What U.S. state has an element named for it ?
319,what,gr What company tabulates the ballots in voting for the Academy Awards ?
320,how,manner How did the tradition of best man start ?
321,how,count How many years ago did the ship Titanic sink ?
322,what,other What is the deepest area of the Arctic Ocean ?
323,what,color What are Halloween 's colors ?
324,how,manner How is silk screening done ?
325,what,"other What is the latitude and longitude of El Paso , Texas ?"
326,who,ind Who made a boat out of gopher wood ?
327,what,other Where can I find a `` Fifth Element '' screensaver ?
328,who,ind Which Bloom County resident wreaks havoc with a computer ?
329,how,manner How do you match a name to a social security number ?
330,what,manner How does a rainbow form ?
331,what,other What is the normal resting heart rate of a healthy adult ?
332,what,other What is the population of Ohio ?
333,how,count How many calories are there in a Big Mac ?
334,what,def Hazmat stands for what ?
335,what,animal What creature scares people in the film `` Jaws '' ?
336,what,ind What part did John Peter Zenger play in the deveopment of the newspaper in America ?
337,who,ind Who followed Caesar ?
338,what,substance What are the four elements ?
339,who,ind Who was the first woman golfer to earn a million ?
340,what,other What 's the tallest piece on a chessboard ?
341,what,other What is Answers.com 's address ?
342,what,other Where can I buy movies on videotape online ?
343,who,ind Who does the advertizing for Frito-Lay ?
344,who,gr Who is the leading competitor of Trans Union Company ?
345,what,product What product did Robert Conrad dare people to knock off his shoulder ?
346,who,ind Who invented the radio ?
347,what,count What 's the American dollar equivalent for 8 pounds in the U.K. ?
348,what,techmeth What are the different approaches of systems analysis ?
349,how,manner How do doctors diagnose bone cancer ?
350,who,ind Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?
351,what,speed What is the speed of the Mississippi River ?
352,what,other What are the developmental stages of a swimmer ?
353,what,ind What actor first portrayed James Bond ?
354,what,other What ocean is the largest in the world ?
355,who,"ind Who was the first American poet to win the Nobel Prize for literature , in 1948 ?"
356,what,date What year did Jack Nicklaus join the Professional Golfers Association tour ?
357,how,count How many sonnets did Shakespeare write ?
358,what,reason What causes the redness in your cheeks when you blush ?
359,who,ind Who won the Nobel Peace Prize in 1991 ?
360,who,gr Who are the Challengers of the Unknown ?
361,unknown,def Define the Pheonix Club ?
362,what,city Which city did Christian Crusaders fight to recapture from the Muslims ?
363,what,def What does it mean `` Rupee Depreciates '' ?
364,what,other What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?
365,who,ind Who was the first coach of the Cleveland Browns ?
366,how,manner How successful is arometherapy ?
367,what,event What Jewish holiday saw the start of the 1973 Mideast War ?
368,how,manner How does a copier work ?
369,what,speed What is the speed of the Mississippi River ?
370,who,ind Who said of Super Bowl III in 1969 
371,what,animal What is Dudley Do-Right 's horse 's name ?
372,who,ind Who declared 
373,what,other Where does chocolate come from ?
374,what,cremat What TV game show once saw a contestant admit to picking his toes in the shower ?
375,what,ind What Soviet leader owned a Rolls-Royce ?
376,what,other Where can I find a case on Individuals with Disabilities Education Act of 1991 ?
377,what,event What war did Florence Nightingale tend the troops in ?
378,who,"ind Who wrote the song , `` Stardust '' ?"
379,how,count How many Beatles ' records went #1 ?
380,who,ind Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?
381,what,abb What is the abbreviation of the company name ` General Motors ' ?
382,what,mount What mountains lie between the Arkansas and Missouri rivers ?
383,who,ind Who received the Will Rogers Award in 1989 ?
384,what,reason What is the function of RAM ?
385,what,other What 's the closest G2 Spectrum Yellow Dwarf to Earth ?
386,how,count How many equal angles are there in an isosceles triangle ?
387,what,dismed What is the fear of cockroaches called ?
388,what,cremat What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?
389,what,desc What is the use of a 24-hour clock instead of a 12-hour clock ?
390,who,ind What was the name of the lawyer who represented Randy Craft ?
391,what,ind What United States President had dreamed that he was assassinated ?
392,what,cremat What film did Lee Marvin win the 1965 best actor Oscar for ?
393,what,other Where is Basque country located ?
394,what,product What product does `` Mrs. Olsen '' promote ?
395,when,date What time of day did Emperor Hirohito die ?
396,what,def What is dry ice ?
397,what,other What 's the most powerful card in Euchre ?
398,what,def What does `` intractable plantar keratoma '' mean ?
399,how,count How many years did it take James Joyce to write Ulysses ?
400,what,food What crop failure caused the Irish Famine ?
401,what,city What South Korean city is served by Kimpo International Airport ?
402,how,count How many types of dogs ' tails are there - three
403,what,cremat What is the longest-running television series ?
404,what,animal What predators exist on Antarctica ?
405,what,desc What is the difference between a generator and an alternator ?
406,who,manner How is energy created ?
407,what,food What beer advertised that it had `` three rings '' ?
408,what,other What is the quantity of American soldiers still unaccounted for from the Vietnam war ?
409,what,techmeth What golfing accessory was patented by George Grant on December 12
410,what,other What are the different types of plastic ?
411,how,manner How is it correct to say ` qigong ' ?
412,what,mount What was the highest mountain on earth before Mount Everest was discovered ?
413,who,"other Where was the Ligurian Republic , 1797-185 , ?"
414,what,country What country 's people are the top television watchers ?
415,when,date When was the women 's suffrage amendment ratified ?
416,what,gr What Polynesian people inhabit New Zealand ?
417,what,cremat What movie tour of the Roman empire features the admonition 
418,what,city What Nevada center has been dubbed The Biggest Little City in the World ?
419,what,"ind What President lived at 219 North Delaware Street , Independence , Missouri ?"
420,what,reason Give a reason for American Indians oftentimes dropping out of school .
421,what,other Where must a soccer goalie stand to be permitted to handle the ball ?
422,what,desc What is the difference between classical conditioning and operant conditioning ?
423,what,state In what U.S. state was the first woman governor elected ?
424,what,desc What are some interesting facts and information about dogsledding ?
425,when,date What year did Hitler die ?
426,what,ind What famous model was married to Billy Joel ?
427,what,animal What kind of animal is Babar ?
428,what,reason What is Jane Goodall known for ?
429,what,other What killed Bob Marley ?
430,how,money How much money are Dumbo 's ears insured for ?
431,who,ind Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?
432,who,desc Who is Stein Eriksen ?
433,what,def What does the name Billie mean ?
434,who,ind Who is the fastest swimmer in the world ?
435,what,mount What is the highest peak in Africa ?
436,what,other Where is Procter & Gamble headquartered in the U.S. ?
437,what,other What desert has been called The Garden of Allah ?
438,what,other What do bicornate animals have two of ?
439,what,reason What function does a community 's water tower serve ?
440,what,dismed What is a fear of weakness ?
441,how,count How many miles is it to Ohio from North Carolina ?
442,how,count How much snow equals an inch of rain ?
443,what,exp What does G.M.T. stand for ?
444,what,def What does Inuit and Eskimo mean ?
445,what,cremat What song served as the closing theme of The Johnny Cash Show ?
446,what,sport What field sport did dentist William Beers promote and write a standard book of rules for ?
447,what,manner How do I tie dye clothes ?
448,what,date When does the average teenager first have intercourse ?
449,who,reason Why doesn 't www.answers.com have any answers to my questions ?
450,what,ind What actor 's autobiography is titled All My Yesterdays ?
451,what,ind What Russian master spy lived in the U.S. under the name Emil Goldfus ?
452,what,other Where 's the 19th hole on a golf course ?
453,what,reason What 's nature 's purpose for tornadoes ?
454,who,ind Who played the original Charlie 's Angels ?
455,what,other Where can I find a person 's address from a telephone number ?
456,what,"word What English word comes from the Old French covrefeu , meaning cover fire ?"
457,what,instru What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?
458,when,other Where did Sarge Steel get his metal hand ?
459,what,reason What makes popcorn pop ?
460,who,ind Who wrote The Night of the Iguana ?
461,what,body Where does your hair grow the fastest ?
462,what,country What country did King Gustav V reign over from 197 to 195 ?
463,who,ind Who painted Mother and Child ?
464,what,speed What is the speed of the Mississippi River ?
465,what,other In what area of the world was the Six Day War fought ?
466,what,other What is the brightest star visible from Earth ?
467,what,cremat What film marked Robert Redford 's directorial debut ?
468,what,ind What was Mao 's second name ?
469,what,cremat What film or films has Jude Law appeared in ?
470,what,other Where do hyenas live ?
471,who,desc Who is the `` Queen Mother '' ?
472,what,lang What 's the most commonly-spoken language in Belgium ?
473,who,ind Who has more DNA - a man or a woman ?
474,what,def What are Maid-Rites ?
475,what,cremat What children 's tale contains the line 
476,what,gr What level of government or governmental agency is responsible for dealing with racism ?
477,how,count How many referees work a soccer game ?
478,what,food What cocktail do you concoct with whisky and sweet vermouth ?
479,how,termeq How do you say `` fresh '' in Spanish ?
480,what,desc What do bee hives do in cranberry bogs ?
481,what,reason What caused the Lynmouth floods ?
482,what,date When is the Tulip Festival in Michigan ?
483,what,"ind Who came up with the name , El Nino ?"
484,what,cremat What movie did Madilyn Kahn star in with Gene Wilder ?
485,what,other What type of bridge is the Golden Gate Bridge ?
486,what,ind What dictator has the nickname `` El Maximo '' ?
487,what,gr What stereo manufacturer is `` Slightly ahead of its time '' ?
488,what,city What U.S. city is The Queen of the Pacific ?
489,what,ind What TV sitcom character had the maiden name Ethel Potter ?
490,what,food What was the first Lifesaver flavor ?
491,who,ind Who kept the most famous diary in the English language ?
492,who,other Where can I find out the top 1 singles ?
493,how,count How many degrees cooler is the inside of a cucumber than the air outside ?
494,what,ind What Spanish artist painted Crucifixion ?
495,what,cremat What is the Jewish bible called ?
496,what,reason Why is the grass green ?
497,what,def What is a firewall ?
498,what,ind What spy novelist served as Moscow correspondent for Reuter and The Times of London ?
499,what,gr Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?
500,how,period How long does it take for Spider-Man 's web to evaporate ?
501,who,ind Who was Randy Steven Craft 's lawyer ?
502,what,other What was known as the Spice Island ?
503,who,ind Who was the first host of Person to Person ?
504,who,ind Name the Ranger who was always after Yogi Bear .
505,what,"other What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?"
506,what,other What does the Statue of Liberty wear on her feet ?
507,who,ind Who is the superstar in rent-a-cars ?
508,what,city McCarren Airport is located in what city ?
